respondent_id,segment_true,age_range,gender,country,income_bracket,respondent_role,heritage_connection,items_purchased_12m,items_purchased_12m_raw,buying_channels,product_interests,top_frustration,appeal_score,trust_factors,trust_count,membership_interest,nps_score,max_price_small_piece_usd,max_price_large_piece_usd,authenticity_premium_pct,future_purchases_per_year,main_purchase_blocker,top_wishlist_feature,wants_launch_notification,age_range_ordinal,income_bracket_ordinal,items_purchased_12m_ordinal,membership_interest_ordinal,segment_true_code,channel_Direct_from_artisans_travel,channel_Dont_currently_buy,channel_Galleries_or_exhibitions,channel_Local_boutiques,channel_Online_marketplaces,channel_Other,channel_no_response,interest_Furniture,interest_Home_decor,interest_Jewelry,interest_Pottery_ceramics,interest_Religious_spiritual_items,interest_Textiles_apparel,interest_Wall_art_paintings,interest_no_response,trust_Authentication_certification_per_piece,trust_Named_verified_artisan_profiles,trust_Personal_referral,trust_Recognized_brand_or_press_coverage,trust_Reviews_from_other_collectors,trust_Strong_return_refund_policy,trust_no_response,annual_spending_potential_usd,high_intent_customer,premium_buyer,high_trust_customer
R0837,Collectors Circle Prospect,35-44,Male,Switzerland,$200K+,Retailer or boutique owner,"Strong personal interest, not Indian-origin",6+,6,Direct from artisans/travel; Galleries or exhibitions,Home decor; Jewelry; Wall art & paintings,No provenance story,5,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Recognized brand or press coverage,4,"Yes, definitely",6,368.5,1505.0,73.0,3.0,Price too high,Financing/installment options,False,3,5.0,3,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1105.5,1,1,0
R0597,Conscious Luxury Consumer,45-54,Female,UK,$25-50K,Gift buyer (personal),"Strong personal interest, not Indian-origin",0,0,Online marketplaces,Home decor; Textiles & apparel; Jewelry; Pottery & ceramics,Pricing trust concerns,3,Authentication/certification per piece; Named verified artisan profiles,2,"Yes, definitely",2,42.0,165.0,41.0,3.0,Trust/authenticity doubts,Financing/installment options,False,4,2.0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,126.0,0,0,0
R0166,Gifting & Corporate Buyer,25-34,Male,UAE,$100-200K,Corporate gifting buyer,No particular connection,1-2,1,Direct from artisans/travel,Home decor,Inconsistent quality,2,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,4,Possibly,4,155.0,916.0,54.8,2.0,Price too high,Local pickup or showroom,False,2,4.0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,310.0,0,0,0
R0919,Gifting & Corporate Buyer,25-34,Female,UAE,$50-100K,Corporate gifting buyer,No particular connection,0,0,Online marketplaces; Galleries or exhibitions,Home decor,Inconsistent quality,2,Authentication/certification per piece,1,Possibly,4,25.0,30.0,21.1,3.0,Price too high,Faster shipping,False,2,3.0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0,0,0,0
R0496,Global Design & Decor Collector,45-54,Female,Germany,$50-100K,Interior designer or architect,Professional interest (design/retail),3-5,3,Direct from artisans/travel,Home decor; Wall art & paintings; Furniture; Pottery & ceramics,Pricing trust concerns,4,Authentication/certification per piece; Reviews from other collectors,2,"Yes, definitely",7,165.0,819.0,43.9,3.0,Shipping/customs concerns,Sustainability certification,False,4,3.0,2,2,4,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,495.0,1,0,0
R0825,Global Design & Decor Collector,45-54,Female,UK,$50-100K,Other,"Strong personal interest, not Indian-origin",1-2,2,Galleries or exhibitions,Home decor; Wall art & paintings; Religious/spiritual items,No provenance story,4,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,No,6,120.0,357.0,52.6,1.0,Return policy concerns,Faster shipping,False,4,3.0,1,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,120.0,0,0,0
R0066,Conscious Luxury Consumer,45-54,Female,USA,$100-200K,Individual collector,No particular connection,0,0,Direct from artisans/travel,Jewelry,Authenticity doubts,3,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,4,"Yes, definitely",1,101.0,280.0,49.1,1.0,Price too high,Sustainability certification,True,4,4.0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,101.0,0,0,0
R0142,Diaspora Heritage Buyer,25-34,Female,UK,$25-50K,Gift buyer (personal),Indian-origin,1-2,1,Local boutiques; Online marketplaces; Direct from artisans/travel,Home decor; Furniture; Pottery & ceramics; Religious/spiritual items,Pricing trust concerns,4,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors,3,"Yes, definitely",8,48.0,125.0,53.0,3.0,Price too high,Video story of the artisan,True,2,2.0,1,2,2,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,144.0,1,0,0
R0926,Diaspora Heritage Buyer,25-34,Male,USA,$25-50K,Gift buyer (personal),"Strong personal interest, not Indian-origin",0,0,Local boutiques; Online marketplaces; Direct from artisans/travel,Textiles & apparel; Wall art & paintings,Shipping/customs issues,4,Named verified artisan profiles; Personal referral,2,No,1,92.0,426.0,44.3,1.0,Not enough need/interest,Sustainability certification,True,2,2.0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,92.0,0,0,0
R0828,Global Design & Decor Collector,55+,Female,UAE,$100-200K,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,3,Online marketplaces; Galleries or exhibitions,Home decor; Textiles & apparel; Wall art & paintings; Furniture; Pottery & ceramics,Shipping/customs issues,4,Named verified artisan profiles; Reviews from other collectors; Strong return/refund policy,3,Possibly,8,187.0,821.0,51.8,0.0,Price too high,Video story of the artisan,True,5,4.0,2,1,4,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0.0,0,1,0
R0656,Diaspora Heritage Buyer,18-24,Female,USA,$25-50K,Individual collector,Indian-origin,3-5,3,Online marketplaces,Home decor; Pottery & ceramics; Religious/spiritual items,Inconsistent quality,3,Authentication/certification per piece; Named verified artisan profiles; Personal referral,3,No,1,47.0,295.0,56.7,0.0,Price too high,Financing/installment options,False,1,2.0,2,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0
R0332,Gifting & Corporate Buyer,45-54,Male,UK,$50-100K,Corporate gifting buyer,No particular connection,3-5,3,Local boutiques; Online marketplaces,Home decor; Textiles & apparel,No provenance story,2,Strong return/refund policy; Personal referral,2,No,2,52.0,181.0,27.8,0.0,Price too high,Faster shipping,True,4,3.0,2,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0,0,0
R0665,Diaspora Heritage Buyer,45-54,Male,Canada,$25-50K,Individual collector,Indian-origin,6+,8,Local boutiques; Online marketplaces,Religious/spiritual items,Shipping/customs issues,4,Authentication/certification per piece; Named verified artisan profiles,2,No,4,70.0,315.0,42.7,1.0,Not enough need/interest,Sustainability certification,True,4,2.0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,70.0,0,0,0
R0250,Gifting & Corporate Buyer,35-44,Female,UAE,$25-50K,Gift buyer (personal),No particular connection,3-5,3,Online marketplaces,Textiles & apparel,Inconsistent quality,3,Reviews from other collectors,1,Possibly,3,49.0,288.0,45.7,4.0,Trust/authenticity doubts,Local pickup or showroom,True,3,2.0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,196.0,0,0,0
R0908,Global Design & Decor Collector,35-44,Prefer not to say,UK,$100-200K,Individual collector,Professional interest (design/retail),6+,8,Online marketplaces,Wall art & paintings; Pottery & ceramics,Inconsistent quality,4,Authentication/certification per piece; Recognized brand or press coverage; Personal referral,3,"Yes, definitely",7,192.0,1006.0,49.7,4.0,Not enough need/interest,Faster shipping,True,3,4.0,3,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,768.0,1,1,0
R0709,Diaspora Heritage Buyer,35-44,Female,Australia,$50-100K,Individual collector,Indian-origin,1-2,2,Online marketplaces; Direct from artisans/travel; Other,Home decor,Inconsistent quality,4,Named verified artisan profiles; Personal referral,2,Possibly,5,83.0,498.0,41.9,4.0,Trust/authenticity doubts,Sustainability certification,True,3,3.0,1,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,332.0,1,0,0
R0306,Collectors Circle Prospect,55+,Male,UAE,$200K+,Individual collector,Professional interest (design/retail),6+,8,Local boutiques; Direct from artisans/travel,Home decor; Textiles & apparel; Jewelry; Furniture,Authenticity doubts,2,Recognized brand or press coverage,1,"Yes, definitely",5,368.5,1505.0,38.4,4.0,Price too high,Video story of the artisan,True,5,5.0,3,2,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1474.0,0,1,0
R0735,Global Design & Decor Collector,35-44,Female,UK,$50-100K,Interior designer or architect,"Strong personal interest, not Indian-origin",1-2,2,Online marketplaces; Galleries or exhibitions,Home decor; Textiles & apparel; Furniture,Authenticity doubts,4,Named verified artisan profiles; Reviews from other collectors; Personal referral,3,No,3,129.0,345.0,61.8,1.0,Not enough need/interest,Financing/installment options,False,3,3.0,1,0,4,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,129.0,0,0,0
R0976,Diaspora Heritage Buyer,45-54,Male,UAE,$25-50K,Other,Indian-origin,1-2,1,Local boutiques; Online marketplaces; Galleries or exhibitions,Textiles & apparel,Shipping/customs issues,3,Authentication/certification per piece; Reviews from other collectors; Personal referral,3,Possibly,7,79.0,430.0,48.9,1.0,Shipping/customs concerns,Financing/installment options,True,4,2.0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,79.0,0,0,0
R0050,Diaspora Heritage Buyer,55+,Female,USA,$25-50K,Individual collector,Indian-origin,3-5,4,Direct from artisans/travel,Home decor; Jewelry; Religious/spiritual items,Inconsistent quality,1,Strong return/refund policy; Recognized brand or press coverage; Personal referral,3,Possibly,7,42.0,103.0,44.6,3.0,Shipping/customs concerns,Sustainability certification,True,5,2.0,2,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,126.0,0,0,0
R0897,Diaspora Heritage Buyer,35-44,Female,UK,$25-50K,Individual collector,No particular connection,1-2,2,Local boutiques; Other,Home decor; Textiles & apparel; Jewelry; Wall art & paintings; Pottery & ceramics; Religious/spiritual items,Authenticity doubts,3,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,"Yes, definitely",6,30.0,129.0,57.2,3.0,Return policy concerns,Video story of the artisan,True,3,2.0,1,2,2,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,90.0,0,0,0
R0003,Gifting & Corporate Buyer,35-44,Female,UAE,$50-100K,Corporate gifting buyer,Professional interest (design/retail),1-2,2,Local boutiques; Galleries or exhibitions,Home decor; Jewelry; Wall art & paintings; Furniture,Authenticity doubts,3,Authentication/certification per piece; Strong return/refund policy,2,"Yes, definitely",4,44.0,331.0,34.4,2.0,Shipping/customs concerns,Faster shipping,True,3,3.0,1,2,3,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,88.0,0,0,0
R0545,Conscious Luxury Consumer,45-54,Female,USA,$25-50K,Gift buyer (personal),No particular connection,1-2,2,Don't currently buy,Home decor; Textiles & apparel; Jewelry; Pottery & ceramics,Authenticity doubts,4,Authentication/certification per piece,1,No,6,65.0,285.0,28.8,1.0,Return policy concerns,Video story of the artisan,False,4,2.0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,65.0,0,0,0
R0351,Global Design & Decor Collector,45-54,Male,USA,$100-200K,Interior designer or architect,No particular connection,3-5,4,Online marketplaces,Home decor; Jewelry,Inconsistent quality,4,Authentication/certification per piece; Named verified artisan profiles; Recognized brand or press coverage,3,Possibly,7,198.0,1020.0,51.3,3.0,Price too high,Local pickup or showroom,True,4,4.0,2,1,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,594.0,1,1,0
R0905,Global Design & Decor Collector,45-54,Female,UAE,$200K+,Individual collector,No particular connection,6+,6,Direct from artisans/travel,Home decor; Jewelry; Wall art & paintings; Pottery & ceramics,Shipping/customs issues,5,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy; Recognized brand or press coverage,4,Possibly,7,364.0,734.0,63.8,3.0,Shipping/customs concerns,Financing/installment options,False,4,5.0,3,1,4,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1092.0,1,1,0
R0537,Gifting & Corporate Buyer,35-44,Female,India,$100-200K,Gift buyer (personal),No particular connection,3-5,5,Online marketplaces; Direct from artisans/travel,Home decor; Textiles & apparel; Pottery & ceramics; Religious/spiritual items,Pricing trust concerns,3,Named verified artisan profiles,1,No,4,116.0,464.0,26.5,0.0,Not enough need/interest,Faster shipping,True,3,4.0,2,0,3,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0
R0345,Global Design & Decor Collector,35-44,Female,Germany,$50-100K,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,4,Direct from artisans/travel,Home decor; Jewelry; Furniture,Authenticity doubts,4,,2,"Yes, definitely",5,153.0,792.0,46.1,5.0,Trust/authenticity doubts,Financing/installment options,True,3,3.0,2,2,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,765.0,1,0,0
R0995,Global Design & Decor Collector,45-54,Female,USA,$50-100K,Interior designer or architect,Indian-origin,1-2,1,Local boutiques,Home decor; Wall art & paintings,Shipping/customs issues,4,Reviews from other collectors,1,"Yes, definitely",10,119.0,618.0,51.2,3.0,Not enough need/interest,Faster shipping,False,4,3.0,1,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,357.0,1,0,1
R0482,Conscious Luxury Consumer,25-34,Male,Germany,Under $25K,Individual collector,No particular connection,0,0,Local boutiques,Wall art & paintings,Shipping/customs issues,4,Authentication/certification per piece; Reviews from other collectors; Personal referral,3,Possibly,4,36.0,30.0,58.8,1.0,Shipping/customs concerns,Video story of the artisan,False,2,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,36.0,0,0,0
R0576,Collectors Circle Prospect,55+,Male,Switzerland,$100-200K,Retailer or boutique owner,Indian-origin,6+,6,Local boutiques; Online marketplaces; Direct from artisans/travel,Home decor; Jewelry; Furniture; Pottery & ceramics; Religious/spiritual items,Pricing trust concerns,5,Authentication/certification per piece; Named verified artisan profiles; Personal referral,3,"Yes, definitely",10,368.5,1299.0,57.6,6.0,Trust/authenticity doubts,Faster shipping,True,5,4.0,3,2,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2211.0,1,1,1
R0034,Collectors Circle Prospect,55+,Male,UAE,$200K+,Individual collector,"Strong personal interest, not Indian-origin",6+,7,Local boutiques,Jewelry,Shipping/customs issues,5,Authentication/certification per piece; Reviews from other collectors; Strong return/refund policy; Recognized brand or press coverage; Personal referral,5,"Yes, definitely",10,368.5,1505.0,84.0625,4.0,Price too high,Nothing specific,True,5,5.0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1474.0,1,1,1
R0032,Diaspora Heritage Buyer,55+,Male,USA,$25-50K,Individual collector,Indian-origin,3-5,3,Other,Textiles & apparel; Jewelry; Furniture,Authenticity doubts,4,Named verified artisan profiles; Strong return/refund policy,2,"Yes, definitely",6,95.0,537.0,66.9,8.0,Return policy concerns,Video story of the artisan,True,5,2.0,2,2,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,760.0,1,0,0
R0232,Global Design & Decor Collector,55+,Male,USA,$50-100K,Individual collector,"Strong personal interest, not Indian-origin",1-2,1,Direct from artisans/travel,Wall art & paintings; Furniture,Inconsistent quality,5,Authentication/certification per piece; Reviews from other collectors; Strong return/refund policy,3,"Yes, definitely",7,198.0,949.0,78.5,7.0,Not enough need/interest,Sustainability certification,True,5,3.0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1386.0,1,0,0
R0964,Global Design & Decor Collector,35-44,Male,USA,$100-200K,Retailer or boutique owner,"Strong personal interest, not Indian-origin",3-5,5,Local boutiques; Direct from artisans/travel; Galleries or exhibitions,Furniture,Pricing trust concerns,4,Reviews from other collectors,1,Possibly,5,83.0,1252.0,40.7,3.0,Shipping/customs concerns,Sustainability certification,False,3,4.0,2,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,249.0,1,0,0
R0193,Collectors Circle Prospect,18-24,Male,UK,$200K+,Individual collector,No particular connection,6+,8,Galleries or exhibitions,Jewelry; Wall art & paintings; Furniture,Shipping/customs issues,5,Named verified artisan profiles; Recognized brand or press coverage; Personal referral,3,"Yes, definitely",8,368.5,1505.0,48.55,4.0,Price too high,Financing/installment options,True,1,5.0,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1474.0,1,1,0
R0334,Diaspora Heritage Buyer,25-34,Female,UK,$50-100K,Individual collector,Indian-origin,1-2,1,Local boutiques; Direct from artisans/travel; Galleries or exhibitions,Textiles & apparel; Furniture; Pottery & ceramics,Authenticity doubts,5,Authentication/certification per piece; Named verified artisan profiles,2,Possibly,8,109.0,297.0,60.1,1.0,Return policy concerns,Faster shipping,True,2,3.0,1,1,2,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,109.0,0,0,0
R0004,Conscious Luxury Consumer,18-24,Female,UK,$25-50K,Individual collector,"Strong personal interest, not Indian-origin",3-5,4,Online marketplaces,Wall art & paintings,Authenticity doubts,3,Named verified artisan profiles; Reviews from other collectors,2,Possibly,6,74.0,439.0,33.0,1.0,Price too high,Financing/installment options,True,1,2.0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,74.0,0,0,0
R0205,Conscious Luxury Consumer,25-34,Female,Canada,$25-50K,Individual collector,Professional interest (design/retail),1-2,1,Direct from artisans/travel,Wall art & paintings; Religious/spiritual items,Inconsistent quality,3,Authentication/certification per piece; Named verified artisan profiles,2,No,3,24.0,37.0,37.8,1.0,Price too high,Sustainability certification,False,2,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,24.0,0,0,0
R0515,Diaspora Heritage Buyer,45-54,Female,UAE,$25-50K,Other,Indian-origin,3-5,3,Local boutiques; Online marketplaces,Home decor; Jewelry,Shipping/customs issues,4,Authentication/certification per piece,1,Possibly,8,44.0,105.0,43.8,2.0,Price too high,Financing/installment options,True,4,2.0,2,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,88.0,0,0,0
R0800,Collectors Circle Prospect,55+,Male,USA,$200K+,Individual collector,Professional interest (design/retail),3-5,3,Local boutiques; Direct from artisans/travel; Galleries or exhibitions,Home decor; Wall art & paintings; Religious/spiritual items,No provenance story,5,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",6,368.5,363.0,39.4,3.0,Return policy concerns,Video story of the artisan,False,5,5.0,2,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1105.5,1,1,0
R0307,Global Design & Decor Collector,45-54,Female,USA,$100-200K,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,3,Galleries or exhibitions,Wall art & paintings; Pottery & ceramics,Authenticity doubts,5,Authentication/certification per piece; Named verified artisan profiles,2,"Yes, definitely",6,171.0,810.0,49.8,2.0,Return policy concerns,Video story of the artisan,False,4,4.0,2,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,342.0,0,0,0
R0110,Diaspora Heritage Buyer,45-54,Female,Singapore,Under $25K,Individual collector,Indian-origin,1-2,2,Local boutiques; Online marketplaces; Direct from artisans/travel; Galleries or exhibitions,Textiles & apparel; Wall art & paintings; Religious/spiritual items,No provenance story,4,Authentication/certification per piece; Named verified artisan profiles,2,"Yes, definitely",6,35.0,88.0,51.5,6.0,Price too high,Faster shipping,True,4,1.0,1,2,2,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,210.0,1,0,0
R0431,Diaspora Heritage Buyer,18-24,Male,Singapore,$50-100K,Individual collector,"Strong personal interest, not Indian-origin",1-2,1,Online marketplaces,Textiles & apparel; Jewelry; Religious/spiritual items,Shipping/customs issues,4,Reviews from other collectors; Personal referral,2,"Yes, definitely",6,117.0,194.0,46.0,8.0,Return policy concerns,Local pickup or showroom,True,1,3.0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,936.0,1,0,0
R0078,Diaspora Heritage Buyer,25-34,Female,UAE,$25-50K,Individual collector,"Strong personal interest, not Indian-origin",0,0,Online marketplaces,Home decor; Wall art & paintings; Pottery & ceramics; Religious/spiritual items,No provenance story,5,Named verified artisan profiles; Strong return/refund policy; Personal referral,3,"Yes, definitely",3,61.0,215.0,52.2,4.0,Trust/authenticity doubts,Sustainability certification,False,2,2.0,0,2,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,244.0,1,0,0
R0085,Global Design & Decor Collector,25-34,Female,UAE,$100-200K,Retailer or boutique owner,No particular connection,3-5,4,Local boutiques,Home decor; Wall art & paintings; Furniture,No provenance story,5,Named verified artisan profiles,1,"Yes, definitely",8,349.0,1505.0,36.7,4.0,Not enough need/interest,Financing/installment options,True,2,4.0,2,2,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1396.0,1,1,0
R0287,Global Design & Decor Collector,55+,Male,USA,$100-200K,Interior designer or architect,No particular connection,3-5,5,Local boutiques,Home decor; Wall art & paintings; Pottery & ceramics,Authenticity doubts,5,,2,"Yes, definitely",2,259.0,890.0,48.55,4.0,Price too high,Sustainability certification,False,5,4.0,2,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1036.0,1,1,0
R0083,Global Design & Decor Collector,45-54,Female,Italy,Prefer not to say,Interior designer or architect,"Strong personal interest, not Indian-origin",3-5,3,Local boutiques; Galleries or exhibitions; Other,Jewelry; Wall art & paintings; Furniture; Pottery & ceramics,Authenticity doubts,4,Authentication/certification per piece; Named verified artisan profiles; Reviews from other collectors,3,"Yes, definitely",1,368.5,1505.0,48.55,3.0,Trust/authenticity doubts,Faster shipping,True,4,3.0,2,2,4,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1105.5,1,0,0
R0992,Conscious Luxury Consumer,18-24,Female,Canada,$25-50K,Gift buyer (personal),"Strong personal interest, not Indian-origin",1-2,2,Direct from artisans/travel,Textiles & apparel; Religious/spiritual items,No provenance story,4,Authentication/certification per piece; Named verified artisan profiles; Strong return/refund policy,3,No,5,87.0,363.0,58.7,0.0,Trust/authenticity doubts,Local pickup or showroom,False,1,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0.0,0,0,0
R0790,Collectors Circle Prospect,35-44,Male,UK,$200K+,Individual collector,"Strong personal interest, not Indian-origin",3-5,4,Direct from artisans/travel; Galleries or exhibitions,Textiles & apparel,Authenticity doubts,5,Authentication/certification per piece; Reviews from other collectors,2,"Yes, definitely",9,333.0,1505.0,48.5,0.0,Trust/authenticity doubts,Sustainability certification,False,3,5.0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0,1,1
R0895,Conscious Luxury Consumer,18-24,Male,UK,Under $25K,Individual collector,Indian-origin,1-2,1,Direct from artisans/travel; Galleries or exhibitions,Home decor; Textiles & apparel,Authenticity doubts,3,Recognized brand or press coverage,1,Possibly,5,33.0,95.0,22.4,0.0,Trust/authenticity doubts,Video story of the artisan,False,1,1.0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0
R0399,Gifting & Corporate Buyer,45-54,Female,UAE,$50-100K,Gift buyer (personal),No particular connection,1-2,2,Local boutiques,Home decor; Jewelry,Other/none,1,Authentication/certification per piece; Personal referral,2,Possibly,2,42.0,32.0,25.6,2.0,Shipping/customs concerns,Faster shipping,True,4,3.0,1,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,84.0,0,0,0
R0324,Diaspora Heritage Buyer,45-54,Female,Australia,$25-50K,Individual collector,Indian-origin,3-5,3,Online marketplaces,Textiles & apparel; Jewelry; Wall art & paintings; Furniture; Religious/spiritual items,Authenticity doubts,3,Authentication/certification per piece; Reviews from other collectors,2,"Yes, definitely",4,69.0,404.0,44.5,4.0,Return policy concerns,Sustainability certification,True,4,2.0,2,2,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,276.0,0,0,0
R0520,Diaspora Heritage Buyer,45-54,Female,USA,$50-100K,Individual collector,"Strong personal interest, not Indian-origin",1-2,1,Local boutiques; Online marketplaces,Jewelry; Religious/spiritual items,Authenticity doubts,5,Authentication/certification per piece; Reviews from other collectors,2,No,3,155.0,496.0,41.7,3.0,Shipping/customs concerns,Nothing specific,False,4,3.0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,465.0,1,0,0
R0917,Diaspora Heritage Buyer,18-24,Female,Australia,$25-50K,Individual collector,Indian-origin,6+,8,Online marketplaces; Direct from artisans/travel,Home decor; Jewelry,Pricing trust concerns,3,Authentication/certification per piece; Personal referral,2,Possibly,7,49.0,213.0,84.0625,3.0,Price too high,Video story of the artisan,True,1,2.0,3,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,147.0,0,0,0
R0923,Collectors Circle Prospect,45-54,Male,Switzerland,$200K+,Interior designer or architect,"Strong personal interest, not Indian-origin",6+,6,Galleries or exhibitions,Textiles & apparel; Wall art & paintings; Pottery & ceramics,Shipping/customs issues,4,Authentication/certification per piece; Recognized brand or press coverage,2,"Yes, definitely",6,368.5,990.0,66.1,3.0,Trust/authenticity doubts,Video story of the artisan,True,4,5.0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1105.5,1,1,0
R0006,Diaspora Heritage Buyer,35-44,Female,Canada,$50-100K,Gift buyer (personal),Indian-origin,3-5,3,Don't currently buy,Home decor; Textiles & apparel; Jewelry; Religious/spiritual items,Authenticity doubts,2,Authentication/certification per piece; Named verified artisan profiles; Personal referral,3,Possibly,5,64.0,108.0,39.5,1.0,Shipping/customs concerns,Video story of the artisan,True,3,3.0,2,1,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,64.0,0,0,0
